feature_idx,importance_mean,importance_max
0,0.0,0.0
1,0.00031000252813100814,0.0003957556327804923
2,0.0,0.0
3,4.349533119238913e-06,7.44630116969347e-06
4,0.0,7.806368404999375e-05
5,1.0468013351783157e-05,0.0006383194937370718
6,5.236469209194184e-05,0.0
7,0.0,0.0003475557500496507
8,0.0,8.366831811144948e-05
9,9.606639854609966e-05,0.0
10,0.002085379734635353,6.143822683952749e-06
11,0.0,0.0005549442186020315
12,0.0,0.00010972156189382077
13,1.4899338129907846e-05,0.0
14,0.0,0.0
15,3.626483958214521e-05,0.0
16,2.255770523333922e-06,0.0
17,0.0,0.0002868553064763546
18,7.484829984605312e-06,0.0
19,0.0,0.0
20,0.0055495065869763495,0.0
21,0.0,0.0
22,0.0,0.00018353207036852836
23,0.0,0.0
24,8.655993267893792e-05,0.0
25,0.0,0.00011729503865353763
26,0.00023873863683547824,0.0
27,0.00011666172882542014,0.0
28,0.00010128015652298928,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.006315319398418069
34,3.246495965868235e-05,0.0
35,6.684759631752968e-05,0.0
36,8.715120144188404e-05,0.0
37,0.0,0.0
38,2.5945573579519987e-05,0.0
39,0.0012298514833673836,0.0
40,0.0006602265033870936,0.0
41,0.0,0.0
42,6.695048068650067e-06,0.0
43,0.0,0.0
44,0.0006103296484798193,0.0
45,0.0,0.0
46,5.141531233675778e-05,0.004150647576898337
47,0.0,0.0
48,0.0002817961573600769,0.002918888223357499
49,1.0927822440862656e-05,0.0
50,0.0,0.0002266096044331789
51,0.0,0.0007143689459189772
52,8.908145246095955e-06,0.0011496899556368589
53,0.0013747844332829117,0.0
54,0.0,3.6196918226778504e-05
55,0.0,0.0
56,0.00019893154734745621,0.0
57,7.453048427123576e-05,0.0005061866343021393
58,0.0,0.0
59,8.847194840200245e-06,0.0
60,4.769706632941961e-05,0.00015749652404338122
61,0.0,0.0
62,0.0,0.0
63,3.2398330513387916e-05,0.0
64,0.000465602147160098,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0007137969136238098,0.0
69,0.0,0.0
70,0.000977818521205336,0.0
71,0.0001411638967692852,8.128338376991451e-06
72,0.0,0.0
73,0.0,0.0
74,2.3556789383292198e-05,0.0003765211533755064
75,0.0,0.0
76,0.0,0.0
77,5.8165332302451136e-05,0.0
78,0.0,0.0
79,0.0011491684895008803,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0002625742182135582,0.0
83,0.0,0.009566004853695631
84,0.0,0.0
85,0.0,0.00010191150242462754
86,0.0,9.11051919683814e-05
87,0.0,0.0
88,0.0,0.0
89,0.00039582401514053344,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0015688648074865341
93,0.0,0.011749844457954168
94,0.0,0.0013424003031104804
95,1.1973539367318153e-05,8.7626971071586e-06
96,1.1836497578769923e-05,0.0
97,0.0,0.0
98,4.125151783227921e-05,7.477626204490661e-05
99,0.0,0.0
100,0.0,9.581447578966617e-05
101,0.0,9.503076784312725e-05
102,0.0,3.288941225036979e-05
103,0.0,0.0002949764643562958
104,0.0002602153830230236,0.0
105,8.632817305624485e-05,0.0
106,0.0,0.0
107,0.0009210067498497665,4.899248015135527e-05
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,1.762152649462223e-05,0.0
114,0.0,0.0
115,0.0001803410588763654,0.0
116,0.00010524544399231672,0.0
117,0.0007019483298063278,0.00011254698969423771
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0012389264255762101,0.0
124,0.00017034672200679779,0.0
125,0.0,0.0
126,0.0,0.0
127,2.6561811100691557e-05,0.0024219727609306576
128,6.41363812610507e-05,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,7.387019461020827e-05
132,0.0,0.0
133,9.940909221768379e-05,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0008675427490379661
139,0.0,0.0
140,0.0001413759682327509,0.0011100580682978033
141,0.0003372292802669108,0.0
142,0.00014449828770011664,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0001173157338052988
146,0.0,8.994534611701965e-05
147,0.0001526026154169813,0.0
148,0.0,5.8816978707909586e-06
149,0.00015823698893655092,0.0
150,0.0,0.0007235432066954673
151,0.0,0.0
152,0.0,0.00011270539835095406
153,6.416523829102516e-05,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,9.168254327960313e-06,0.0
158,0.00013533796183764934,0.0
159,0.0,0.0013238682714290916
160,0.0,0.0
161,9.558055782690644e-05,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.000530478143482469,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0005846883822232485,0.0
172,0.0,0.000345471166074276
173,2.0694900304079055e-05,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.00010080646839924156,0.0
178,0.0,0.0
179,0.0,0.0
180,1.5421552234329283e-05,4.124935250729322e-05
181,0.0006631988380104303,3.37987975217402e-05
182,0.0,1.0481167118996381e-05
183,0.0,0.0013508622348308563
184,0.0,0.0
185,0.006013746373355389,0.0
186,0.00016648637130856514,0.0002532241679728031
187,0.004355636490508914,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0006144503504037857,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.012221823520958424
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0053330799867399034
203,0.0,0.0
204,0.0,0.0003513919631950557
205,0.0,0.0
206,3.6569535732269285e-05,0.0
207,0.0,0.0
208,0.0,0.0
209,1.1183386668562889e-05,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0008351878775283695,0.0
217,0.0,0.0
218,0.0,4.633345408365131e-05
219,0.0,0.00011725147836841643
220,0.0011768722347915172,0.0
221,0.0005808259604964405,0.0
222,0.006924067083746195,0.0
223,0.0,0.0
224,0.000179333183914423,0.00011922814534045756
225,0.0,0.0
226,0.0,1.5671402215957642e-05
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,1.1186527553945779e-05,0.0
232,0.0,0.0008297393005341292
233,0.0,0.0
234,0.0,0.00047106973826885226
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,0.0,1.3098433846607805e-05
240,0.00031197775388136506,0.0
241,0.001999694181140512,0.0
242,0.0,0.0
243,0.00019012544711586088,0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,0.00028153596445918083
248,0.0,0.0
249,0.0,0.0
250,0.0,0.0
251,0.0,0.0
252,0.0,0.0
253,0.0,0.0
254,0.0,0.0
255,0.0005991142836865037,1.2994644930586218e-05
256,0.010698067098855972,0.0
257,0.0004689992102794349,0.00021131563931703568
258,7.765170186758042e-05,3.765277564525604e-05
