max_depth,min_child_weight,learning_rate,n_estimators,n_wins,pool
5,1,0.03,200,0,max
4,5,0.05,600,0,max
5,1,0.03,600,0,max
5,1,0.05,200,0,max
5,1,0.05,600,0,max
5,1,0.1,200,0,max
5,1,0.1,400,0,max
5,1,0.1,600,0,max
5,3,0.03,200,0,max
5,3,0.03,400,0,max
5,3,0.03,600,0,max
5,3,0.05,200,0,max
5,3,0.05,400,0,max
5,3,0.05,600,0,max
5,3,0.1,200,0,max
5,3,0.1,400,0,max
5,3,0.1,600,0,max
5,5,0.03,200,0,max
5,5,0.03,400,0,max
5,5,0.03,600,0,max
5,5,0.05,200,0,max
5,5,0.05,400,0,max
5,5,0.05,600,0,max
5,5,0.1,200,0,max
5,5,0.1,400,0,max
5,5,0.1,600,0,max
