feature_idx,importance_mean,importance_max
0,0.0,9.215934498404915e-06
1,0.0001301436280747029,1.0016979014670307e-05
2,0.0,0.0
3,0.0,0.0
4,2.7187409048730677e-05,0.0
5,0.0,0.00022115624806081708
6,4.539958794008602e-05,0.0005691569141874259
7,0.0,4.7458798666907984e-05
8,5.3781094347042114e-05,3.7734053859656507e-06
9,0.0002278183377877047,0.00046718942213126204
10,7.162013884887777e-05,0.0
11,9.172143710946495e-06,0.0
12,1.5478866936808284e-05,0.0
13,0.002285647154362364,0.0
14,0.0,3.6924422020092606e-05
15,0.00029152658757415005,0.0
16,6.5227813849394975e-06,0.0
17,0.0,0.0
18,0.0,1.3289936098524115e-06
19,2.707971779190385e-05,4.2389536445791075e-06
20,0.00033684937410395253,0.0
21,5.890091203830459e-06,1.7214985564351083e-05
22,5.604156864468347e-07,0.0
23,2.3663357238877903e-06,9.590457193553447e-06
24,4.834237095730549e-05,0.00016916455933824182
25,6.59407607533715e-05,0.0
26,0.0004035385832486844,0.0
27,0.0,0.0
28,0.0,4.524789411913265e-05
29,0.0,9.163457159460945e-05
30,0.0,0.0
31,0.006847241315990686,0.0
32,0.0002572020515799522,6.714210168204525e-05
33,1.835479824380441e-05,0.0
34,0.0,1.176749991083687e-06
35,0.0,0.0
36,0.0,0.0
37,0.0006359702790558169,0.0
38,0.0,1.5061826191165231e-05
39,0.013096939413914118,0.0
40,0.0,6.608685203404589e-06
41,0.0002207981050014496,0.0
42,0.0,1.345366068893451e-06
43,0.0,0.00043627238282087176
44,2.836615312844515e-06,1.864746170626445e-05
45,0.0,0.0
46,0.0,1.4599698849699713e-05
47,0.0,0.0
48,0.0,0.0
49,0.0,1.0711860271509398e-05
50,8.415544775991955e-05,1.2091218747875907e-05
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,6.444100660949268e-06,0.00017072245690294289
55,0.0,0.0014500257551183246
56,0.0,0.0010450369949367914
57,0.0,0.0
58,5.990588264963166e-06,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,3.842434168539264e-06
63,0.0,0.0
64,4.427084826271642e-06,0.0
65,2.165803664617918e-05,4.669060845944014e-07
66,0.0,6.0495536308735605e-06
67,2.420688423709097e-06,0.0
68,7.102428340162574e-08,6.994015579535203e-07
69,0.0007265084816820242,0.0
70,0.0,0.0
71,0.0002019152301363647,0.0
72,1.0440262386427176e-06,0.0
73,0.0,0.0
74,0.006760972426696257,0.00029777305221862416
75,0.0,3.780879630622539e-05
76,0.0,0.0
77,0.0,8.693478546443987e-05
78,0.0,0.0
79,5.759891884570772e-06,0.010093719854300038
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,4.6541215851902963e-07,0.0
85,0.00011828724697062916,0.0
86,0.0,1.276090518910099e-07
87,5.363049514761025e-06,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,1.6323929991234433e-06
92,7.78599639042196e-05,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0001190172485075891,0.0
96,0.000696433563134633,0.0
97,0.0,1.7002917064184491e-06
98,0.0008483874929052862,2.6064478284256023e-06
99,9.509078687353229e-05,5.09151511571624e-06
100,0.0,1.7139200248162855e-06
101,2.155222771265967e-05,0.0
102,0.0,4.428537729175084e-08
103,0.0,0.0
104,0.0012196793136800724,0.0
105,0.00011563619244208729,0.0
106,0.0,5.113190590319308e-06
107,2.265671860765327e-05,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,1.9680947721512482e-05
111,0.0,3.299359168688005e-05
112,0.0,8.205291730436412e-05
113,0.0,0.0
114,0.0,4.462808614004065e-06
115,1.8327266231856562e-06,2.3266789080067113e-05
116,0.0,0.0
117,0.0,0.0
118,0.0,2.9911493413899073e-05
119,0.00018536364828998392,0.0
120,0.0,2.1985620895231314e-06
121,1.029877034439282e-05,0.0
122,0.00015448407481678507,0.0017976065420291642
123,0.0,5.27798706157641e-06
124,0.0,0.0
125,0.0,0.0
126,0.0,0.004900582965955519
127,0.0,0.0
128,0.0,0.0
129,0.0001774913048244674,2.735416563651101e-05
130,0.0,5.5745923256670886e-05
131,6.298420199362391e-05,0.001247220431369814
132,5.355397323993119e-06,2.075931903990832e-05
133,0.00020907661729407582,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,1.5375681898810645e-05
139,8.390103255144575e-05,0.0
140,0.00014656766487116163,2.5163565508343955e-06
141,0.0,0.0
142,0.000375158579766073,0.0
143,8.70552871095821e-05,0.0
144,0.0,8.320085302164609e-05
145,0.0,0.0
146,0.0,4.5129928991875865e-05
147,0.0,4.418067729354582e-05
148,0.0,0.0010814139907332984
149,1.8013006139715965e-05,0.0
150,0.0,5.420346659692851e-05
151,0.0,0.0
