feature_idx,importance_mean,importance_max
0,0.0006844843435101211,0.0012490784242982045
1,0.0017609017295762896,0.0017534688708838076
2,0.0024739648611284792,0.0027097356878221035
3,0.0013410554532310925,0.003881173325935379
4,0.0008249899977818132,0.0016235781367868185
5,0.003479351904243231,0.0033913376135751606
6,0.0024050363479182126,0.0034050724282860757
7,0.0002376045926939696,0.005654786969535053
8,0.004148679827339947,0.004782664715312421
9,0.0021638942201389,0.003461164038744755
10,0.0013401340987911682,0.004693776896456257
11,0.0012447663606144487,0.0012329808712820522
12,0.0006195804019807838,0.0008039485465269535
13,0.0015417751320637762,0.0022071774065261706
14,0.000997795022558421,0.0026385377533733843
15,0.0020561067713424563,0.001386922982201213
16,0.0011896044036802777,0.004162481655366718
17,0.0037866190203931184,0.007097369586117566
18,0.0007025278301443905,0.00014512894151266664
19,0.00046785873477347197,0.0007724214310292155
20,0.0014224171347450465,0.0012884875433519483
21,0.0020971461234148593,0.0015353304066229611
22,9.340285905636846e-05,0.0011600526644906495
23,0.0008602625915955286,0.005899611888453365
24,0.001248289049253799,0.002540128268301487
25,0.0017730478302109987,0.0018209235765971243
26,0.0011750475701410323,0.0006666431881603785
27,0.00482098972890526,0.002594632995314896
28,0.001310370125574991,0.0014089605736080557
29,0.0024540449120104314,0.0035822024918161334
30,0.0008619089331477881,0.0012226978887338192
31,0.005389771852642298,0.002014501333469525
32,0.0010356295830570162,0.002603108766488731
33,0.0009963150008115917,0.0009237492177635432
34,0.0027008388060494326,0.0006225587148219347
35,0.0006837406381964684,0.0014680946242879144
36,0.0020081733414554037,0.0013208784448215738
37,0.0009901446744333953,0.0022119039401877674
38,0.0011496072122827172,2.005796181038022e-05
39,0.006299100724281743,0.00045643865247257053
40,0.0016120792657602578,0.0009379605320282281
41,0.0017612211895175279,0.0011409345467109234
42,0.0,0.0019308235694188625
43,0.0033281613746657967,0.0028824051190167667
44,0.0014069339774141554,0.00019075119460467248
45,0.0010487353254575282,0.0021000789909157904
46,0.00018986678500368726,0.0018275873980019243
47,0.001488029850879684,0.0045070405676960945
48,0.0004175431828480214,0.0006457048089941964
49,0.00042398003046400845,0.0016654066264163703
50,0.0020742258219979704,0.0001579440903151408
51,0.0009722118359059095,0.00508033421356231
52,0.0006897385726915672,0.0017069898836780339
53,0.0005793689007987269,0.00212231915211305
54,0.0014480062085203825,0.0014879897184437141
